Question_Number,Question,Prediction_Number,F1_Score
0,What does it mean: The real problem is not whether machines think but whether men do.,1,0.8
0,What does it mean: The real problem is not whether machines think but whether men do.,2,0.5263157894736842
0,What does it mean: The real problem is not whether machines think but whether men do.,3,0.13333333333333333
0,What does it mean: The real problem is not whether machines think but whether men do.,4,0.13333333333333333
1,What does it mean: Education is what survives when what has been learned has been forgotten.,1,0.6666666666666666
1,What does it mean: Education is what survives when what has been learned has been forgotten.,2,0.28571428571428575
1,What does it mean: Education is what survives when what has been learned has been forgotten.,3,0.15384615384615383
1,What does it mean: Education is what survives when what has been learned has been forgotten.,4,0.0
2,"What does it mean: A failure is not always a mistake, it may simply be the best one can do under the circumstances. The real mistake is to stop trying.",1,0.7142857142857143
2,"What does it mean: A failure is not always a mistake, it may simply be the best one can do under the circumstances. The real mistake is to stop trying.",2,0.4210526315789474
2,"What does it mean: A failure is not always a mistake, it may simply be the best one can do under the circumstances. The real mistake is to stop trying.",3,0.0
2,"What does it mean: A failure is not always a mistake, it may simply be the best one can do under the circumstances. The real mistake is to stop trying.",4,0.0
3,What does it mean: The consequences of an act affect the probability of its occurring again.,1,0.3125
3,What does it mean: The consequences of an act affect the probability of its occurring again.,2,0.19999999999999998
3,What does it mean: The consequences of an act affect the probability of its occurring again.,3,0.058823529411764705
3,What does it mean: The consequences of an act affect the probability of its occurring again.,4,0.18181818181818182
4,What does it mean: The environment shapes behavior.,1,0.25806451612903225
4,What does it mean: The environment shapes behavior.,2,0.28571428571428575
4,What does it mean: The environment shapes behavior.,3,0.23529411764705882
4,What does it mean: The environment shapes behavior.,4,0.0
5,What does it mean: We shouldn't teach great books; we should teach a love of reading.,1,0.6666666666666666
5,What does it mean: We shouldn't teach great books; we should teach a love of reading.,2,0.28571428571428575
5,What does it mean: We shouldn't teach great books; we should teach a love of reading.,3,0.0
5,What does it mean: We shouldn't teach great books; we should teach a love of reading.,4,0.0
6,What does it mean: The way positive reinforcement is carried out is more important than the amount.,1,0.6666666666666666
6,What does it mean: The way positive reinforcement is carried out is more important than the amount.,2,0.10526315789473684
6,What does it mean: The way positive reinforcement is carried out is more important than the amount.,3,0.12500000000000003
6,What does it mean: The way positive reinforcement is carried out is more important than the amount.,4,0.0
7,What does it mean: The self is a product of our social interactions with others.,1,0.25806451612903225
7,What does it mean: The self is a product of our social interactions with others.,2,0.23529411764705882
7,What does it mean: The self is a product of our social interactions with others.,3,0.15384615384615383
7,What does it mean: The self is a product of our social interactions with others.,4,0.0
8,What does it mean: The ultimate goal of behaviorism is the prediction and control of behavior.,1,0.7272727272727273
8,What does it mean: The ultimate goal of behaviorism is the prediction and control of behavior.,2,0.18181818181818182
8,What does it mean: The ultimate goal of behaviorism is the prediction and control of behavior.,3,0.2857142857142857
8,What does it mean: The ultimate goal of behaviorism is the prediction and control of behavior.,4,0.0
9,What does it mean: The best way to teach an animal to do something is to make it easy at first.,1,0.6666666666666666
9,What does it mean: The best way to teach an animal to do something is to make it easy at first.,2,0.0
9,What does it mean: The best way to teach an animal to do something is to make it easy at first.,3,0.0
9,What does it mean: The best way to teach an animal to do something is to make it easy at first.,4,0.0
10,What does it mean: The human is a social animal.,1,0.32000000000000006
10,What does it mean: The human is a social animal.,2,0.28571428571428575
